time_sec,throughput_mbps,rtt_ms,jitter_ms,cwnd_bytes,retransmits,label
0,10.432187160475399,33.252,0.0,37648,3,CUBIC Flow
1,4.170911483988657,32.647,0.605000000000004,21720,2,CUBIC Flow
2,4.168864394340094,32.527,0.11999999999999744,30408,1,CUBIC Flow
3,4.172543238089558,32.083,0.4440000000000026,17376,4,CUBIC Flow
4,2.0849865287773666,32.735,0.652000000000001,20272,1,CUBIC Flow
5,2.0852409342139357,32.447,0.2879999999999967,21720,1,CUBIC Flow
6,4.1682643421763785,11.909,20.538000000000004,7240,7,CUBIC Flow
7,6.25611063411632,12.057,0.1479999999999997,7240,11,CUBIC Flow
8,4.1711243355930865,13.278,1.221,5792,12,CUBIC Flow
9,4.168514177344093,10.127,3.151,5792,12,CUBIC Flow
10,6.258839865686126,9.584,0.543000000000001,7240,12,CUBIC Flow
11,6.25494691113129,16.215,6.631,17376,12,CUBIC Flow
12,6.254246872460772,10.273,5.942,15928,14,CUBIC Flow
13,8.342098476542303,7.193,3.08,7240,16,CUBIC Flow
14,6.252590216831477,8.055,0.8620000000000001,15928,14,CUBIC Flow
15,4.16908945844456,23.873,15.818000000000001,10136,8,CUBIC Flow
16,4.171524734505605,18.018,5.855,8688,7,CUBIC Flow
17,4.169268334665981,16.156,1.8620000000000019,11584,4,CUBIC Flow
18,2.0839593475923595,115.107,98.951,15928,1,CUBIC Flow
19,2.0874830546434993,52.23,62.877,31856,1,CUBIC Flow
20,4.169481018591477,27.357,24.872999999999998,15928,3,CUBIC Flow
21,4.1712369866464405,14.011,13.346,10136,7,CUBIC Flow
22,4.170506976624304,12.978,1.0329999999999995,8688,11,CUBIC Flow
23,6.25494691113129,9.52,3.458,7240,14,CUBIC Flow
24,4.169852273600887,10.071,0.5510000000000002,7240,12,CUBIC Flow
25,4.169777222076207,13.102,3.0310000000000006,14480,11,CUBIC Flow
26,6.2572747901995704,18.06,4.957999999999998,14480,16,CUBIC Flow
27,8.339070373779533,10.498,7.561999999999999,15928,11,CUBIC Flow
28,8.340947329650513,8.46,2.0379999999999985,14480,14,CUBIC Flow
29,4.169381133952204,20.136,11.675999999999998,14480,10,CUBIC Flow
30,4.1687019459482775,34.483,14.346999999999998,24616,1,CUBIC Flow
31,4.17032351973907,38.958,4.475000000000001,24616,1,CUBIC Flow
32,4.170936597358334,33.234,5.723999999999997,21720,2,CUBIC Flow
33,2.0839320361570235,39.502,6.268000000000001,21720,1,CUBIC Flow
34,4.1725141239756125,44.321,4.8189999999999955,23168,1,CUBIC Flow
35,2.0844446173298476,35.225,9.095999999999997,20272,2,CUBIC Flow
36,4.173491037261842,13.255,21.97,7240,6,CUBIC Flow
37,4.1698562499159655,13.892,0.6369999999999987,5792,10,CUBIC Flow
38,6.255829078599267,12.964,0.927999999999999,7240,11,CUBIC Flow
39,4.169414428300213,11.083,1.8810000000000002,7240,11,CUBIC Flow
40,4.169468594868275,9.886,1.197000000000001,8688,14,CUBIC Flow
41,6.2581385822331335,14.942,5.056000000000001,13032,11,CUBIC Flow
42,8.339804950270505,19.911,4.969000000000001,10136,10,CUBIC Flow
43,8.340654993905893,22.154,2.2429999999999986,13032,11,CUBIC Flow
44,4.168197790741926,40.192,18.038,10136,11,CUBIC Flow
45,4.169310074659623,36.128,4.064,30408,0,CUBIC Flow
46,4.171082559265694,32.047,4.081000000000003,21720,2,CUBIC Flow
47,4.1696728502747815,14.384,17.662999999999997,10136,5,CUBIC Flow
48,4.172530796110808,67.926,53.542,13032,4,CUBIC Flow
49,2.083998826295963,37.626,30.300000000000004,20272,1,CUBIC Flow
50,2.08477380550491,34.009,3.6169999999999973,17376,2,CUBIC Flow
51,4.171908791765066,13.842,20.167,8688,6,CUBIC Flow
52,6.25751244915152,13.512,0.33000000000000007,11584,9,CUBIC Flow
53,4.169414428300213,12.001,1.511000000000001,7240,11,CUBIC Flow
54,4.169527235491789,10.9,1.100999999999999,5792,14,CUBIC Flow
55,6.257018123885321,14.345,3.4450000000000003,10136,15,CUBIC Flow
56,6.256498513682024,9.852,4.493,8688,13,CUBIC Flow
57,8.340145941114878,11.638,1.7859999999999996,8688,12,CUBIC Flow
58,6.254571897552525,15.041,3.4030000000000005,8688,10,CUBIC Flow
59,6.2552160837859905,13.958,1.0830000000000002,4344,13,CUBIC Flow
60,2.083740627915047,20.975,7.017000000000001,14480,4,CUBIC Flow
61,6.259791832276808,26.827,5.852,15928,6,CUBIC Flow
62,4.1680850554745685,23.059,3.7680000000000007,10136,4,CUBIC Flow
63,2.0840196835734193,102.194,79.135,21720,0,CUBIC Flow
64,2.0860796564047415,54.368,47.826,23168,1,CUBIC Flow
65,2.0862319297692773,15.66,38.708,17376,2,CUBIC Flow
66,4.169239514681929,13.475,2.1850000000000005,7240,6,CUBIC Flow
67,6.256091987271965,14.275,0.8000000000000007,7240,11,CUBIC Flow
68,4.1706819966095665,15.564,1.2889999999999997,8688,10,CUBIC Flow
69,4.169326969656556,13.842,1.7219999999999995,10136,12,CUBIC Flow
70,6.25828897731363,10.06,3.782,7240,15,CUBIC Flow
71,6.254815688541814,8.294,1.766,14480,11,CUBIC Flow
72,8.34057992459803,8.432,0.1379999999999999,11584,13,CUBIC Flow
73,6.255478940936455,13.434,5.001999999999999,8688,12,CUBIC Flow
74,6.254841037931157,16.839,3.4049999999999994,18824,10,CUBIC Flow
75,4.169877125694542,28.655,11.816000000000003,10136,8,CUBIC Flow
76,6.256292260194449,22.325,6.330000000000002,17376,4,CUBIC Flow
77,4.1696604254083605,3.324,19.000999999999998,10136,4,CUBIC Flow
78,2.0836780740904692,50.895,47.571000000000005,24616,0,CUBIC Flow
79,4.17367502191917,33.787,17.108000000000004,36200,0,CUBIC Flow
80,2.084750945306566,6.447,27.34,17376,3,CUBIC Flow
81,4.171086786594101,11.96,5.513000000000001,8688,8,CUBIC Flow
82,4.170089871737806,12.026,0.06599999999999895,8688,11,CUBIC Flow
83,4.170406794238027,2.801,9.225,7240,12,CUBIC Flow
84,6.255210118490002,9.273,6.4719999999999995,7240,13,CUBIC Flow
85,4.169297651955115,11.371,2.0980000000000008,10136,11,CUBIC Flow
86,6.255710497237885,8.333,3.0380000000000003,8688,13,CUBIC Flow
87,8.34176478528292,9.475,1.1419999999999995,11584,11,CUBIC Flow
88,8.341431120718356,9.167,0.30799999999999983,15928,13,CUBIC Flow
89,4.1697354727286315,12.025,2.8580000000000005,14480,9,CUBIC Flow
90,4.170398590930761,22.33,10.304999999999998,14480,3,CUBIC Flow
91,4.169152063376101,39.046,16.716,30408,0,CUBIC Flow
92,4.1707113337832,38.08,0.9660000000000011,23168,2,CUBIC Flow
93,2.083848864831764,34.092,3.9879999999999995,11584,5,CUBIC Flow
94,2.0850325085540997,57.376,23.284,17376,1,CUBIC Flow
95,4.1724932217853885,32.922,24.454,20272,1,CUBIC Flow
96,4.171028350754991,17.159,15.762999999999998,7240,7,CUBIC Flow
97,4.168918546617572,12.397,4.761999999999999,5792,11,CUBIC Flow
98,4.172263560320754,11.507,0.8900000000000006,8688,11,CUBIC Flow
99,6.2545845712335,14.773,3.266,7240,15,CUBIC Flow
100,4.16944374764398,13.239,1.533999999999999,10136,14,CUBIC Flow
101,6.25596071663347,11.3,1.939,11584,11,CUBIC Flow
102,8.340913521067522,12.783,1.4829999999999988,5792,14,CUBIC Flow
103,6.2542595448245795,12.771,0.011999999999998678,7240,15,CUBIC Flow
104,6.255284685507627,18.576,5.805,7240,13,CUBIC Flow
105,4.170940824390886,18.976,0.3999999999999986,15928,4,CUBIC Flow
106,4.1689975419122245,25.531,6.555,18824,4,CUBIC Flow
107,4.170903278695795,19.775,5.756,15928,4,CUBIC Flow
108,4.171495634603187,25.44,5.665000000000003,24616,1,CUBIC Flow
109,2.083973748455599,57.552,32.111999999999995,34752,0,CUBIC Flow
110,2.0852263915366622,46.762,10.79,30408,1,CUBIC Flow
111,6.257913189741599,12.268,34.494,8688,8,CUBIC Flow
112,4.169843823956526,12.017,0.2510000000000012,8688,10,CUBIC Flow
113,4.1685310658913135,9.797,2.219999999999999,4344,12,CUBIC Flow
114,6.257675500349174,13.27,3.472999999999999,7240,13,CUBIC Flow
115,4.170385913155736,11.431,1.8390000000000004,5792,14,CUBIC Flow
116,6.255147483569047,9.957,1.4739999999999984,10136,13,CUBIC Flow
117,8.341205874935234,13.009,3.0519999999999996,7240,13,CUBIC Flow
118,6.252634174311702,17.831,4.821999999999999,10136,14,CUBIC Flow
119,6.257349779536356,13.363,4.468,17376,9,CUBIC Flow
